target_idx,hand_id,decision_idx,head_set,mode,top1_id,top1_tok,top1_group,delta_check_minus_fold,GROUP_CHECK_CALL,GROUP_FOLD,GROUP_BET_RAISE
0,b3c594b5,2,,baseline,7247,CH,CHECK_CALL,8.2499,27.6251,19.3752,20.3763
0,b3c594b5,2,9+15+22,ablated,7247,CH,CHECK_CALL,-0.7500,27.3751,19.8752,22.7505
0,b3c594b5,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1250,27.1251,20.0002,21.8757
0,b3c594b5,2,22,ablated,7247,CH,CHECK_CALL,-0.2500,27.5001,19.5003,22.6255
0,b3c594b5,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,27.6251,19.7501,20.7511
1,49af524b,1,,baseline,7247,CH,CHECK_CALL,8.3749,28.0001,19.6252,22.6257
1,49af524b,1,9+15+22,ablated,7247,CH,CHECK_CALL,-0.7499,27.7502,20.1252,24.1254
1,49af524b,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.0000,27.6252,20.2503,24.0005
1,49af524b,1,22,ablated,7247,CH,CHECK_CALL,-0.1250,28.0001,19.7503,24.1254
1,49af524b,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,28.0001,20.0001,22.7506
2,0a3ee396,4,,baseline,7247,CH,CHECK_CALL,5.6327,27.1328,21.5001,22.5007
2,0a3ee396,4,9+15+22,ablated,7247,CH,CHECK_CALL,-1.9868,26.6459,23.0001,23.6255
2,0a3ee396,4,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-2.3392,26.2935,23.0001,23.1256
2,0a3ee396,4,22,ablated,7247,CH,CHECK_CALL,-1.7392,26.7685,22.8751,23.5005
2,0a3ee396,4,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.2517,27.2561,21.8751,22.7506
3,5db85f5e,2,,baseline,7247,CH,CHECK_CALL,7.3749,28.1251,20.7501,20.1270
3,5db85f5e,2,9+15+22,ablated,7247,CH,CHECK_CALL,-1.2499,27.6252,21.5002,23.1255
3,5db85f5e,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.6249,27.3752,21.6252,22.1258
3,5db85f5e,2,22,ablated,7247,CH,CHECK_CALL,-0.7500,27.8752,21.2502,23.0006
3,5db85f5e,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.5000,28.1251,21.2501,20.7514
4,5fd9af8f,1,,baseline,7247,CH,CHECK_CALL,7.2546,27.5047,20.2502,22.1258
4,5fd9af8f,1,9+15+22,ablated,7247,CH,CHECK_CALL,-2.1113,27.0184,21.8751,22.7507
4,5fd9af8f,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.9614,26.6683,21.3751,22.6257
4,5fd9af8f,1,22,ablated,7247,CH,CHECK_CALL,-1.4903,27.1394,21.3751,22.7507
4,5fd9af8f,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,0.1236,27.6283,20.2502,22.2507
5,39e14634,2,,baseline,7247,CH,CHECK_CALL,6.0000,28.0001,22.0001,20.6267
5,39e14634,2,9+15+22,ablated,7247,CH,CHECK_CALL,-1.2499,27.6253,22.8751,23.3755
5,39e14634,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.4999,27.5002,23.0001,22.6257
5,39e14634,2,22,ablated,7247,CH,CHECK_CALL,-0.8749,27.7502,22.6252,23.1256
5,39e14634,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3750,28.0001,22.3751,21.1263
6,d8ee7de6,2,,baseline,7247,CH,CHECK_CALL,6.8750,28.0001,21.1251,21.1263
6,d8ee7de6,2,9+15+22,ablated,7247,CH,CHECK_CALL,-1.1249,27.3752,21.6251,23.5006
6,d8ee7de6,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.3749,27.2502,21.7501,22.7507
6,d8ee7de6,2,22,ablated,7247,CH,CHECK_CALL,-0.3750,27.6252,21.1251,23.3755
6,d8ee7de6,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3750,28.0001,21.5001,21.3762
7,10edf7bd,1,,baseline,7247,CH,CHECK_CALL,7.3778,27.6279,20.2501,21.6259
7,10edf7bd,1,9+15+22,ablated,7247,CH,CHECK_CALL,-1.7345,27.1434,21.5001,22.8756
7,10edf7bd,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.2345,27.1434,21.0001,22.5007
7,10edf7bd,1,22,ablated,7247,CH,CHECK_CALL,-1.1152,27.3877,21.1251,22.8756
7,10edf7bd,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.1259,27.7520,20.5001,21.7509
8,49af524b,4,,baseline,7247,CH,CHECK_CALL,4.2504,27.2505,23.0000,21.6261
8,49af524b,4,9+15+22,ablated,7247,CH,CHECK_CALL,-0.6248,27.0007,23.3750,22.6257
8,49af524b,4,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1245,26.7509,23.6250,22.3758
8,49af524b,4,22,ablated,7247,CH,CHECK_CALL,-0.3749,27.1256,23.2500,22.6257
8,49af524b,4,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.0000,27.2504,23.0000,21.8759
9,0a3ee396,1,,baseline,7247,CH,CHECK_CALL,8.2499,27.8751,19.6252,21.7510
9,0a3ee396,1,9+15+22,ablated,7247,CH,CHECK_CALL,-0.6250,27.6252,20.0002,23.5005
9,0a3ee396,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.0000,27.3752,20.1252,23.3756
9,0a3ee396,1,22,ablated,7247,CH,CHECK_CALL,-0.2500,27.7502,19.7503,23.5005
9,0a3ee396,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,27.8751,20.0001,21.7509
10,cbef2e9a,2,,baseline,7247,CH,CHECK_CALL,7.7500,27.6251,19.8752,21.6259
10,cbef2e9a,2,9+15+22,ablated,7247,CH,CHECK_CALL,-0.7499,27.3752,20.3752,23.2505
10,cbef2e9a,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.0000,27.2502,20.5002,22.8755
10,cbef2e9a,2,22,ablated,7247,CH,CHECK_CALL,-0.2500,27.6252,20.1252,23.2505
10,cbef2e9a,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.2500,27.7501,20.2501,22.0007
11,49af524b,2,,baseline,7247,CH,CHECK_CALL,7.9999,28.0001,20.0002,21.7509
11,49af524b,2,9+15+22,ablated,7247,CH,CHECK_CALL,-1.1249,27.5002,20.6252,24.0004
11,49af524b,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.2500,27.3752,20.6252,23.0005
11,49af524b,2,22,ablated,7247,CH,CHECK_CALL,-0.6250,27.6252,20.2503,23.8754
11,49af524b,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.6249,28.0001,20.6251,22.3756
12,e2b6cc38,2,,baseline,7247,CH,CHECK_CALL,7.4999,27.8751,20.3752,21.2511
12,e2b6cc38,2,9+15+22,ablated,7247,CH,CHECK_CALL,-0.9999,27.5002,21.0002,23.3755
12,e2b6cc38,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.6249,27.1253,21.2502,22.5006
12,e2b6cc38,2,22,ablated,7247,CH,CHECK_CALL,-0.5000,27.6252,20.6253,23.2505
12,e2b6cc38,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,27.8751,20.7501,21.6259
13,0306ad6b,2,,baseline,7247,CH,CHECK_CALL,7.9999,27.7501,19.7502,20.2515
13,0306ad6b,2,9+15+22,ablated,7247,CH,CHECK_CALL,-0.8750,27.3751,20.2502,22.6255
13,0306ad6b,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1250,27.1251,20.2502,21.7507
13,0306ad6b,2,22,ablated,7247,CH,CHECK_CALL,-0.3750,27.5001,19.8752,22.5005
13,0306ad6b,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3750,27.7501,20.1251,20.5014
14,127c5655,1,,baseline,7247,CH,CHECK_CALL,7.7519,27.3770,19.6252,21.7508
14,127c5655,1,9+15+22,ablated,7247,CH,CHECK_CALL,-1.6157,27.0112,20.8751,23.0006
14,127c5655,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.3562,26.8958,20.5001,23.0005
14,127c5655,1,22,ablated,7247,CH,CHECK_CALL,-1.1192,27.2578,20.6251,23.0006
14,127c5655,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.1256,27.5014,19.8751,21.8758
15,a4f238cd,1,,baseline,7247,CH,CHECK_CALL,8.1249,27.8751,19.7502,22.0007
15,a4f238cd,1,9+15+22,ablated,7247,CH,CHECK_CALL,-0.6250,27.7501,20.2502,23.3754
15,a4f238cd,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1250,27.5002,20.5002,23.2505
15,a4f238cd,1,22,ablated,7247,CH,CHECK_CALL,-0.1250,27.8751,19.8752,23.3754
15,a4f238cd,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.2499,28.0001,20.1251,22.1257
16,629cf86a,1,,baseline,7247,CH,CHECK_CALL,8.2499,27.8751,19.6252,21.7510
16,629cf86a,1,9+15+22,ablated,7247,CH,CHECK_CALL,-0.8749,27.5002,20.1252,23.6255
16,629cf86a,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1249,27.3752,20.2502,23.5005
16,629cf86a,1,22,ablated,7247,CH,CHECK_CALL,-0.2500,27.7502,19.7502,23.5005
16,629cf86a,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,27.8751,20.0001,21.7509
17,c84bdcb3,2,,baseline,7247,CH,CHECK_CALL,8.1249,27.6251,19.5002,20.1266
17,c84bdcb3,2,9+15+22,ablated,7247,CH,CHECK_CALL,-0.6250,27.3751,19.8752,22.5005
17,c84bdcb3,2,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.1250,27.1251,20.1252,21.6258
17,c84bdcb3,2,22,ablated,7247,CH,CHECK_CALL,-0.1250,27.5001,19.5003,22.3755
17,c84bdcb3,2,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.2500,27.6251,19.7501,20.5013
18,0a3ee396,7,,baseline,7247,CH,CHECK_CALL,7.4998,27.6251,20.1253,20.3773
18,0a3ee396,7,9+15+22,ablated,7247,CH,CHECK_CALL,-1.2499,27.2502,21.0002,22.0010
18,0a3ee396,7,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.8748,27.1252,21.5002,21.6262
18,0a3ee396,7,22,ablated,7247,CH,CHECK_CALL,-0.5000,27.5002,20.5003,21.8760
18,0a3ee396,7,0+1+5+13,ablated,7247,CH,CHECK_CALL,-0.3749,27.6251,20.5002,20.6272
19,327dacee,1,,baseline,7247,CH,CHECK_CALL,4.5002,27.3753,22.8750,20.6267
19,327dacee,1,9+15+22,ablated,7247,CH,CHECK_CALL,-1.1248,27.1255,23.7500,21.5012
19,327dacee,1,9+15+21+22+24+30+31,ablated,7247,CH,CHECK_CALL,-1.6245,26.8758,24.0000,21.5012
19,327dacee,1,22,ablated,7247,CH,CHECK_CALL,-0.4999,27.3754,23.3750,21.6260
19,327dacee,1,0+1+5+13,ablated,7247,CH,CHECK_CALL,0.2499,27.5002,22.7500,21.0014
